DATE,HOUR,DAY_NAME,TIME_OF_DAY,CASUAL_USERS,REGISTERED_USERS,TOTAL_RENTALS,CASUAL_PERCENTAGE
2011-01-05,20,Wednesday,Night,7,82,89,7.87
2011-01-05,21,Wednesday,Night,3,40,43,6.98
2011-01-05,22,Wednesday,Night,1,41,42,2.38
2011-01-05,23,Wednesday,Night,1,18,19,5.26
2011-01-06,0,Thursday,Early Morning,0,11,11,0.0
2011-01-06,1,Thursday,Early Morning,0,4,4,0.0
2011-01-06,2,Thursday,Early Morning,0,2,2,0.0
2011-01-06,4,Thursday,Early Morning,0,1,1,0.0
2011-01-06,5,Thursday,Early Morning,0,4,4,0.0
2011-01-06,6,Thursday,Morning Rush,0,36,36,0.0
2011-01-06,7,Thursday,Morning Rush,0,95,95,0.0
2011-01-06,8,Thursday,Morning Rush,3,216,219,1.37
2011-01-06,9,Thursday,Morning Rush,6,116,122,4.92
2011-01-06,10,Thursday,Mid-Day,3,42,45,6.67
2011-01-06,11,Thursday,Mid-Day,2,57,59,3.39
2011-01-06,12,Thursday,Mid-Day,6,78,84,7.14
2011-01-06,13,Thursday,Mid-Day,12,55,67,17.91
2011-01-06,14,Thursday,Mid-Day,11,59,70,15.71
2011-01-06,15,Thursday,Mid-Day,8,54,62,12.9
2011-01-06,16,Thursday,Evening Rush,12,74,86,13.95
2011-01-06,17,Thursday,Evening Rush,9,163,172,5.23
2011-01-06,18,Thursday,Evening Rush,5,158,163,3.07
2011-01-06,19,Thursday,Evening Rush,3,109,112,2.68
2011-01-06,20,Thursday,Night,3,66,69,4.35
2011-01-06,21,Thursday,Night,0,48,48,0.0
2011-01-06,22,Thursday,Night,1,51,52,1.92
2011-01-06,23,Thursday,Night,4,19,23,17.39
2011-01-07,0,Friday,Early Morning,4,13,17,23.53
2011-01-07,1,Friday,Early Morning,2,5,7,28.57
2011-01-07,2,Friday,Early Morning,0,1,1,0.0
2011-01-07,4,Friday,Early Morning,0,1,1,0.0
2011-01-07,5,Friday,Early Morning,0,5,5,0.0
2011-01-07,6,Friday,Morning Rush,8,26,34,23.53
2011-01-07,7,Friday,Morning Rush,8,76,84,9.52
2011-01-07,8,Friday,Morning Rush,20,190,210,9.52
2011-01-07,9,Friday,Morning Rush,9,125,134,6.72
2011-01-07,10,Friday,Mid-Day,16,47,63,25.4
2011-01-07,11,Friday,Mid-Day,19,48,67,28.36
2011-01-07,12,Friday,Mid-Day,9,50,59,15.25
2011-01-07,13,Friday,Mid-Day,9,64,73,12.33
2011-01-07,14,Friday,Mid-Day,7,43,50,14.0
2011-01-07,15,Friday,Mid-Day,9,63,72,12.5
2011-01-07,16,Friday,Evening Rush,5,82,87,5.75
2011-01-07,17,Friday,Evening Rush,9,178,187,4.81
2011-01-07,18,Friday,Evening Rush,7,116,123,5.69
2011-01-07,19,Friday,Evening Rush,3,92,95,3.16
2011-01-07,20,Friday,Night,1,50,51,1.96
2011-01-07,21,Friday,Night,0,39,39,0.0
2011-01-07,22,Friday,Night,2,34,36,5.56
2011-01-07,23,Friday,Night,1,14,15,6.67
2011-01-08,0,Saturday,Early Morning,1,24,25,4.0
2011-01-08,1,Saturday,Early Morning,1,15,16,6.25
2011-01-08,2,Saturday,Early Morning,3,13,16,18.75
2011-01-08,3,Saturday,Early Morning,0,7,7,0.0
2011-01-08,4,Saturday,Early Morning,0,1,1,0.0
2011-01-08,5,Saturday,Early Morning,0,5,5,0.0
2011-01-08,6,Saturday,Morning Rush,0,2,2,0.0
2011-01-08,7,Saturday,Morning Rush,1,8,9,11.11
2011-01-08,8,Saturday,Morning Rush,0,15,15,0.0
2011-01-08,9,Saturday,Morning Rush,0,20,20,0.0
2011-01-08,10,Saturday,Mid-Day,5,56,61,8.2
2011-01-08,11,Saturday,Mid-Day,2,60,62,3.23
2011-01-08,12,Saturday,Mid-Day,8,90,98,8.16
2011-01-08,13,Saturday,Mid-Day,7,95,102,6.86
2011-01-08,14,Saturday,Mid-Day,12,83,95,12.63
2011-01-08,15,Saturday,Mid-Day,5,69,74,6.76
2011-01-08,16,Saturday,Evening Rush,8,68,76,10.53
2011-01-08,17,Saturday,Evening Rush,5,64,69,7.25
2011-01-08,18,Saturday,Evening Rush,3,52,55,5.45
2011-01-08,19,Saturday,Evening Rush,4,26,30,13.33
2011-01-08,20,Saturday,Night,0,28,28,0.0
2011-01-08,21,Saturday,Night,2,35,37,5.41
2011-01-08,22,Saturday,Night,1,33,34,2.94
2011-01-08,23,Saturday,Night,0,22,22,0.0
2011-01-09,0,Sunday,Early Morning,1,24,25,4.0
2011-01-09,1,Sunday,Early Morning,0,12,12,0.0
2011-01-09,2,Sunday,Early Morning,0,11,11,0.0
2011-01-09,3,Sunday,Early Morning,0,4,4,0.0
2011-01-09,4,Sunday,Early Morning,0,1,1,0.0
2011-01-09,5,Sunday,Early Morning,0,1,1,0.0
2011-01-09,6,Sunday,Morning Rush,0,1,1,0.0
2011-01-09,7,Sunday,Morning Rush,1,5,6,16.67
2011-01-09,8,Sunday,Morning Rush,0,10,10,0.0
2011-01-09,9,Sunday,Morning Rush,0,19,19,0.0
2011-01-09,10,Sunday,Mid-Day,0,49,49,0.0
2011-01-09,11,Sunday,Mid-Day,2,47,49,4.08
2011-01-09,12,Sunday,Mid-Day,4,79,83,4.82
2011-01-09,13,Sunday,Mid-Day,6,69,75,8.0
2011-01-09,14,Sunday,Mid-Day,8,64,72,11.11
2011-01-09,15,Sunday,Mid-Day,5,77,82,6.1
2011-01-09,16,Sunday,Evening Rush,13,79,92,14.13
2011-01-09,17,Sunday,Evening Rush,3,59,62,4.84
2011-01-09,18,Sunday,Evening Rush,4,44,48,8.33
2011-01-09,19,Sunday,Evening Rush,1,40,41,2.44
2011-01-09,20,Sunday,Night,0,38,38,0.0
2011-01-09,21,Sunday,Night,1,19,20,5.0
2011-01-09,22,Sunday,Night,5,10,15,33.33
2011-01-09,23,Sunday,Night,0,6,6,0.0
2011-01-10,0,Monday,Early Morning,2,3,5,40.0
2011-01-10,1,Monday,Early Morning,1,0,1,100.0
2011-01-10,2,Monday,Early Morning,0,3,3,0.0
2011-01-10,3,Monday,Early Morning,0,1,1,0.0
2011-01-10,4,Monday,Early Morning,1,2,3,33.33
2011-01-10,5,Monday,Early Morning,0,3,3,0.0
2011-01-10,6,Monday,Morning Rush,0,31,31,0.0
2011-01-10,7,Monday,Morning Rush,2,75,77,2.6
2011-01-10,8,Monday,Morning Rush,4,184,188,2.13
2011-01-10,9,Monday,Morning Rush,2,92,94,2.13
2011-01-10,10,Monday,Mid-Day,0,31,31,0.0
2011-01-10,11,Monday,Mid-Day,2,28,30,6.67
2011-01-10,12,Monday,Mid-Day,5,47,52,9.62
2011-01-10,13,Monday,Mid-Day,4,50,54,7.41
2011-01-10,14,Monday,Mid-Day,0,47,47,0.0
2011-01-10,15,Monday,Mid-Day,2,43,45,4.44
2011-01-10,16,Monday,Evening Rush,4,70,74,5.41
2011-01-10,17,Monday,Evening Rush,4,174,178,2.25
2011-01-10,18,Monday,Evening Rush,1,154,155,0.65
2011-01-10,19,Monday,Evening Rush,3,92,95,3.16
2011-01-10,20,Monday,Night,1,73,74,1.35
2011-01-10,21,Monday,Night,1,37,38,2.63
2011-01-10,22,Monday,Night,2,22,24,8.33
2011-01-10,23,Monday,Night,0,18,18,0.0
2011-01-11,0,Tuesday,Early Morning,2,10,12,16.67
2011-01-11,1,Tuesday,Early Morning,0,3,3,0.0
2011-01-11,2,Tuesday,Early Morning,0,3,3,0.0
2011-01-11,5,Tuesday,Early Morning,0,6,6,0.0
2011-01-11,6,Tuesday,Morning Rush,0,27,27,0.0
2011-01-11,7,Tuesday,Morning Rush,2,97,99,2.02
2011-01-11,8,Tuesday,Morning Rush,3,214,217,1.38
2011-01-11,9,Tuesday,Morning Rush,3,127,130,2.31
2011-01-11,10,Tuesday,Mid-Day,3,51,54,5.56
2011-01-11,11,Tuesday,Mid-Day,4,31,35,11.43
2011-01-11,12,Tuesday,Mid-Day,2,55,57,3.51
2011-01-11,13,Tuesday,Mid-Day,6,46,52,11.54
2011-01-11,14,Tuesday,Mid-Day,3,60,63,4.76
2011-01-11,15,Tuesday,Mid-Day,2,45,47,4.26
2011-01-11,16,Tuesday,Evening Rush,4,72,76,5.26
2011-01-11,17,Tuesday,Evening Rush,6,130,136,4.41
2011-01-11,18,Tuesday,Evening Rush,1,94,95,1.05
2011-01-11,19,Tuesday,Evening Rush,0,51,51,0.0
2011-01-11,20,Tuesday,Night,0,32,32,0.0
2011-01-11,21,Tuesday,Night,0,20,20,0.0
2011-01-11,22,Tuesday,Night,1,28,29,3.45
2011-01-11,23,Tuesday,Night,1,18,19,5.26
2011-01-12,0,Wednesday,Early Morning,0,7,7,0.0
2011-01-12,1,Wednesday,Early Morning,0,6,6,0.0
2011-01-12,2,Wednesday,Early Morning,0,1,1,0.0
2011-01-12,5,Wednesday,Early Morning,0,5,5,0.0
2011-01-12,6,Wednesday,Morning Rush,0,16,16,0.0
2011-01-12,7,Wednesday,Morning Rush,0,54,54,0.0
2011-01-12,8,Wednesday,Morning Rush,3,125,128,2.34
2011-01-12,9,Wednesday,Morning Rush,3,78,81,3.7
2011-01-12,10,Wednesday,Mid-Day,0,39,39,0.0
2011-01-12,11,Wednesday,Mid-Day,3,32,35,8.57
2011-01-12,12,Wednesday,Mid-Day,3,52,55,5.45
2011-01-12,13,Wednesday,Mid-Day,0,49,49,0.0
2011-01-12,14,Wednesday,Mid-Day,0,44,44,0.0
2011-01-12,15,Wednesday,Mid-Day,1,48,49,2.04
2011-01-12,16,Wednesday,Evening Rush,5,63,68,7.35
2011-01-12,17,Wednesday,Evening Rush,0,139,139,0.0
2011-01-12,18,Wednesday,Evening Rush,2,135,137,1.46
2011-01-12,19,Wednesday,Evening Rush,1,82,83,1.2
2011-01-12,20,Wednesday,Night,2,54,56,3.57
2011-01-12,21,Wednesday,Night,0,57,57,0.0
2011-01-12,22,Wednesday,Night,1,32,33,3.03
2011-01-12,23,Wednesday,Night,1,19,20,5.0
2011-01-13,0,Thursday,Early Morning,1,6,7,14.29
2011-01-13,1,Thursday,Early Morning,0,2,2,0.0
2011-01-13,2,Thursday,Early Morning,0,2,2,0.0
2011-01-13,3,Thursday,Early Morning,0,3,3,0.0
2011-01-13,4,Thursday,Early Morning,0,4,4,0.0
2011-01-13,5,Thursday,Early Morning,0,3,3,0.0
2011-01-13,6,Thursday,Morning Rush,0,28,28,0.0
2011-01-13,7,Thursday,Morning Rush,0,72,72,0.0
2011-01-13,8,Thursday,Morning Rush,5,197,202,2.48
2011-01-13,9,Thursday,Morning Rush,2,137,139,1.44
2011-01-13,10,Thursday,Mid-Day,2,36,38,5.26
2011-01-13,11,Thursday,Mid-Day,4,33,37,10.81
2011-01-13,12,Thursday,Mid-Day,3,49,52,5.77
2011-01-13,13,Thursday,Mid-Day,2,81,83,2.41
2011-01-13,14,Thursday,Mid-Day,3,39,42,7.14
2011-01-13,15,Thursday,Mid-Day,5,55,60,8.33
2011-01-13,16,Thursday,Evening Rush,2,76,78,2.56
2011-01-13,17,Thursday,Evening Rush,4,158,162,2.47
2011-01-13,18,Thursday,Evening Rush,3,141,144,2.08
2011-01-13,19,Thursday,Evening Rush,1,98,99,1.01
2011-01-13,20,Thursday,Night,0,64,64,0.0
2011-01-13,21,Thursday,Night,0,40,40,0.0
2011-01-13,22,Thursday,Night,0,30,30,0.0
2011-01-13,23,Thursday,Night,1,14,15,6.67
2011-01-14,0,Friday,Early Morning,0,14,14,0.0
2011-01-14,1,Friday,Early Morning,0,5,5,0.0
2011-01-14,2,Friday,Early Morning,0,1,1,0.0
2011-01-14,3,Friday,Early Morning,0,1,1,0.0
2011-01-14,5,Friday,Early Morning,0,8,8,0.0
2011-01-14,6,Friday,Morning Rush,0,17,17,0.0
2011-01-14,7,Friday,Morning Rush,0,70,70,0.0
2011-01-14,8,Friday,Morning Rush,2,156,158,1.27
2011-01-14,9,Friday,Morning Rush,0,117,117,0.0
2011-01-14,10,Friday,Mid-Day,4,40,44,9.09
2011-01-14,11,Friday,Mid-Day,6,47,53,11.32
2011-01-14,12,Friday,Mid-Day,2,59,61,3.28
2011-01-14,13,Friday,Mid-Day,4,73,77,5.19
2011-01-14,14,Friday,Mid-Day,5,59,64,7.81
2011-01-14,15,Friday,Mid-Day,9,59,68,13.24
2011-01-14,16,Friday,Evening Rush,3,87,90,3.33
2011-01-14,17,Friday,Evening Rush,4,155,159,2.52
2011-01-14,18,Friday,Evening Rush,5,134,139,3.6
2011-01-14,19,Friday,Evening Rush,3,89,92,3.26
2011-01-14,20,Friday,Night,0,68,68,0.0
2011-01-14,21,Friday,Night,4,48,52,7.69
2011-01-14,22,Friday,Night,2,34,36,5.56
2011-01-14,23,Friday,Night,1,26,27,3.7
2011-01-15,0,Saturday,Early Morning,3,25,28,10.71
2011-01-15,1,Saturday,Early Morning,2,18,20,10.0
2011-01-15,2,Saturday,Early Morning,0,12,12,0.0
2011-01-15,3,Saturday,Early Morning,1,7,8,12.5
2011-01-15,4,Saturday,Early Morning,0,5,5,0.0
2011-01-15,5,Saturday,Early Morning,0,1,1,0.0
2011-01-15,6,Saturday,Morning Rush,1,2,3,33.33
2011-01-15,7,Saturday,Morning Rush,1,9,10,10.0
2011-01-15,8,Saturday,Morning Rush,1,22,23,4.35
2011-01-15,9,Saturday,Morning Rush,2,31,33,6.06
2011-01-15,10,Saturday,Mid-Day,2,57,59,3.39
2011-01-15,11,Saturday,Mid-Day,18,54,72,25.0
2011-01-15,12,Saturday,Mid-Day,15,74,89,16.85
2011-01-15,13,Saturday,Mid-Day,21,80,101,20.79
2011-01-15,14,Saturday,Mid-Day,26,92,118,22.03
2011-01-15,15,Saturday,Mid-Day,21,108,129,16.28
2011-01-15,16,Saturday,Evening Rush,33,95,128,25.78
2011-01-15,17,Saturday,Evening Rush,29,54,83,34.94
2011-01-15,18,Saturday,Evening Rush,15,69,84,17.86
2011-01-15,19,Saturday,Evening Rush,14,60,74,18.92
2011-01-15,20,Saturday,Night,6,35,41,14.63
2011-01-15,21,Saturday,Night,6,51,57,10.53
2011-01-15,22,Saturday,Night,0,26,26,0.0
2011-01-15,23,Saturday,Night,5,39,44,11.36
2011-01-16,0,Sunday,Early Morning,6,33,39,15.38
2011-01-16,1,Sunday,Early Morning,4,19,23,17.39
2011-01-16,2,Sunday,Early Morning,3,13,16,18.75
2011-01-16,3,Sunday,Early Morning,9,6,15,60.0
2011-01-16,4,Sunday,Early Morning,0,1,1,0.0
2011-01-16,5,Sunday,Early Morning,1,1,2,50.0
2011-01-16,6,Sunday,Morning Rush,0,1,1,0.0
2011-01-16,7,Sunday,Morning Rush,0,3,3,0.0
2011-01-16,8,Sunday,Morning Rush,0,18,18,0.0
2011-01-16,9,Sunday,Morning Rush,3,29,32,9.38
2011-01-16,10,Sunday,Mid-Day,8,71,79,10.13
2011-01-16,11,Sunday,Mid-Day,23,70,93,24.73
2011-01-16,12,Sunday,Mid-Day,29,75,104,27.88
2011-01-16,13,Sunday,Mid-Day,23,95,118,19.49
2011-01-16,14,Sunday,Mid-Day,22,69,91,24.18
2011-01-16,15,Sunday,Mid-Day,35,78,113,30.97
2011-01-16,16,Sunday,Evening Rush,22,77,99,22.22
2011-01-16,17,Sunday,Evening Rush,23,82,105,21.9
2011-01-16,18,Sunday,Evening Rush,11,56,67,16.42
2011-01-16,19,Sunday,Evening Rush,14,47,61,22.95
2011-01-16,20,Sunday,Night,7,50,57,12.28
2011-01-16,21,Sunday,Night,6,22,28,21.43
2011-01-16,22,Sunday,Night,2,19,21,9.52
2011-01-16,23,Sunday,Night,0,18,18,0.0
2011-01-17,0,Monday,Early Morning,1,16,17,5.88
2011-01-17,1,Monday,Early Morning,1,15,16,6.25
2011-01-17,2,Monday,Early Morning,0,8,8,0.0
2011-01-17,3,Monday,Early Morning,0,2,2,0.0
2011-01-17,4,Monday,Early Morning,1,2,3,33.33
2011-01-17,5,Monday,Early Morning,0,1,1,0.0
2011-01-17,6,Monday,Morning Rush,0,5,5,0.0
2011-01-17,7,Monday,Morning Rush,4,9,13,30.77
2011-01-17,8,Monday,Morning Rush,3,30,33,9.09
2011-01-17,9,Monday,Morning Rush,8,39,47,17.02
2011-01-17,10,Monday,Mid-Day,7,50,57,12.28
2011-01-17,11,Monday,Mid-Day,9,55,64,14.06
2011-01-17,12,Monday,Mid-Day,10,70,80,12.5
2011-01-17,13,Monday,Mid-Day,13,80,93,13.98
2011-01-17,14,Monday,Mid-Day,12,74,86,13.95
2011-01-17,15,Monday,Mid-Day,21,72,93,22.58
2011-01-17,16,Monday,Evening Rush,6,76,82,7.32
2011-01-17,17,Monday,Evening Rush,4,67,71,5.63
2011-01-17,18,Monday,Evening Rush,7,85,92,7.61
2011-01-17,19,Monday,Evening Rush,2,58,60,3.33
2011-01-17,20,Monday,Night,4,29,33,12.12
2011-01-17,21,Monday,Night,3,24,27,11.11
2011-01-17,22,Monday,Night,0,13,13,0.0
2011-01-17,23,Monday,Night,1,3,4,25.0
2011-01-18,12,Tuesday,Mid-Day,0,3,3,0.0
2011-01-18,13,Tuesday,Mid-Day,0,22,22,0.0
2011-01-18,14,Tuesday,Mid-Day,2,26,28,7.14
2011-01-18,15,Tuesday,Mid-Day,3,32,35,8.57
2011-01-18,16,Tuesday,Evening Rush,0,61,61,0.0
2011-01-18,17,Tuesday,Evening Rush,1,124,125,0.8
2011-01-18,18,Tuesday,Evening Rush,1,132,133,0.75
2011-01-18,19,Tuesday,Evening Rush,1,98,99,1.01
2011-01-18,20,Tuesday,Night,0,83,83,0.0
2011-01-18,21,Tuesday,Night,0,41,41,0.0
2011-01-18,22,Tuesday,Night,0,33,33,0.0
2011-01-18,23,Tuesday,Night,1,19,20,5.0
2011-01-19,0,Wednesday,Early Morning,0,3,3,0.0
2011-01-19,1,Wednesday,Early Morning,1,6,7,14.29
2011-01-19,2,Wednesday,Early Morning,0,3,3,0.0
2011-01-19,4,Wednesday,Early Morning,1,1,2,50.0
2011-01-19,5,Wednesday,Early Morning,0,7,7,0.0
2011-01-19,6,Wednesday,Morning Rush,0,32,32,0.0
2011-01-19,7,Wednesday,Morning Rush,1,89,90,1.11
2011-01-19,8,Wednesday,Morning Rush,1,196,197,0.51
2011-01-19,9,Wednesday,Morning Rush,2,107,109,1.83
2011-01-19,10,Wednesday,Mid-Day,1,46,47,2.13
2011-01-19,11,Wednesday,Mid-Day,5,47,52,9.62
2011-01-19,12,Wednesday,Mid-Day,5,65,70,7.14
2011-01-19,13,Wednesday,Mid-Day,11,67,78,14.1
2011-01-19,14,Wednesday,Mid-Day,7,68,75,9.33
2011-01-19,15,Wednesday,Mid-Day,4,78,82,4.88
2011-01-19,16,Wednesday,Evening Rush,10,94,104,9.62
2011-01-19,17,Wednesday,Evening Rush,7,190,197,3.55
2011-01-19,18,Wednesday,Evening Rush,5,156,161,3.11
2011-01-19,19,Wednesday,Evening Rush,4,108,112,3.57
2011-01-19,20,Wednesday,Night,2,74,76,2.63
2011-01-19,21,Wednesday,Night,4,55,59,6.78
2011-01-19,22,Wednesday,Night,6,53,59,10.17
2011-01-19,23,Wednesday,Night,1,27,28,3.57
2011-01-20,0,Thursday,Early Morning,5,8,13,38.46
2011-01-20,1,Thursday,Early Morning,2,3,5,40.0
2011-01-20,2,Thursday,Early Morning,0,2,2,0.0
2011-01-20,3,Thursday,Early Morning,0,1,1,0.0
2011-01-20,4,Thursday,Early Morning,0,1,1,0.0
2011-01-20,5,Thursday,Early Morning,0,6,6,0.0
2011-01-20,6,Thursday,Morning Rush,0,35,35,0.0
2011-01-20,7,Thursday,Morning Rush,1,100,101,0.99
2011-01-20,8,Thursday,Morning Rush,2,247,249,0.8
2011-01-20,9,Thursday,Morning Rush,3,140,143,2.1
2011-01-20,10,Thursday,Mid-Day,1,56,57,1.75
2011-01-20,11,Thursday,Mid-Day,5,63,68,7.35
2011-01-20,12,Thursday,Mid-Day,7,77,84,8.33
2011-01-20,13,Thursday,Mid-Day,12,86,98,12.24
2011-01-20,14,Thursday,Mid-Day,6,75,81,7.41
2011-01-20,15,Thursday,Mid-Day,8,62,70,11.43
2011-01-20,16,Thursday,Evening Rush,8,83,91,8.79
2011-01-20,17,Thursday,Evening Rush,8,207,215,3.72
2011-01-20,18,Thursday,Evening Rush,1,184,185,0.54
2011-01-20,19,Thursday,Evening Rush,6,146,152,3.95
2011-01-20,20,Thursday,Night,2,124,126,1.59
2011-01-20,21,Thursday,Night,3,54,57,5.26
2011-01-20,22,Thursday,Night,0,56,56,0.0
2011-01-20,23,Thursday,Night,3,28,31,9.68
2011-01-21,0,Friday,Early Morning,1,20,21,4.76
2011-01-21,1,Friday,Early Morning,0,6,6,0.0
2011-01-21,2,Friday,Early Morning,0,2,2,0.0
2011-01-21,3,Friday,Early Morning,0,1,1,0.0
2011-01-21,4,Friday,Early Morning,0,1,1,0.0
